,row_id,name,price,url,24h_%,7d%,Market_Cap,Volume(24h),Volume(2),Circulating_Supply
73,73,SUSHI,$8.10,https://coinmarketcap.com/currencies/sushiswap/,+14.05%,,"$1,030,731,721","$269,664,046","33,290,187 SUSHI","127,244,443 SUSHI"
74,74,TEL,$0.01891,https://coinmarketcap.com/currencies/telcoin/,+35.23%,,"$1,024,205,843","$15,872,628","839,299,696 TEL","54,157,110,195 TEL"
75,75,NEXO,$1.77,https://coinmarketcap.com/currencies/nexo/,+2.81%,+26.66%,"$991,721,281","$10,305,502","5,819,257 NEXO","560,000,011 NEXO"
76,76,XDC,$0.07746,https://coinmarketcap.com/currencies/xinfin-network/,+7.24%,,"$951,519,773","$4,677,511","60,384,529 XDC","12,283,685,037 XDC"
77,77,FLOW,$18.43,https://coinmarketcap.com/currencies/flow/,+9.14%,,"$938,695,089","$165,827,865","9,000,131 FLOW","50,946,679 FLOW"
78,78,PAX,$0.9997,https://coinmarketcap.com/currencies/paxos-standard/,+0.00%,,"$931,257,451","$107,449,325","107,485,137 PAX","931,567,832 PAX"
79,79,NEAR,$2.22,https://coinmarketcap.com/currencies/near-protocol/,+0.29%,+21.02%,"$928,926,391","$43,159,080","19,467,435 NEAR","419,003,695 NEAR"
80,80,ZIL,$0.07347,https://coinmarketcap.com/currencies/zilliqa/,+25.26%,,"$847,725,423","$69,912,555","951,554,694 ZIL","11,538,086,483 ZIL"
81,81,BAT,$0.5672,https://coinmarketcap.com/currencies/basic-attention-token/,+12.59%,,"$844,448,506","$169,026,096","297,984,225 BAT","1,488,718,839 BAT"
82,82,BTG,$46.75,https://coinmarketcap.com/currencies/bitcoin-gold/,+0.93%,+23.23%,"$818,731,727","$50,913,919","1,089,127 BTG","17,513,924 BTG"
83,83,BNT,$3.22,https://coinmarketcap.com/currencies/bancor/,+13.60%,,"$767,277,623","$39,643,099","12,316,955 BNT","238,390,138 BNT"
84,84,KCS,$9.42,https://coinmarketcap.com/currencies/kucoin-token/,-0.86%,-0.80%,"$755,069,573","$12,146,917","1,288,881 KCS","80,118,638 KCS"
85,85,ONE,$0.07136,https://coinmarketcap.com/currencies/harmony/,+11.92%,,"$737,399,751","$21,300,470","298,476,683 ONE","10,332,947,109 ONE"
86,86,CHSB,$0.7195,https://coinmarketcap.com/currencies/swissborg/,+0.34%,+38.34%,"$719,481,717","$4,426,307","6,152,077 CHSB","1,000,000,000 CHSB"
87,87,CELO,$2.61,https://coinmarketcap.com/currencies/celo/,+11.84%,,"$694,840,535","$17,894,958","6,850,063 CELO","265,980,036 CELO"
88,88,MDX,$1.16,https://coinmarketcap.com/currencies/mdex/,+1.51%,,"$672,016,205","$34,731,470","29,979,710 MDX","580,074,820 MDX"
89,89,QTUM,$6.56,https://coinmarketcap.com/currencies/qtum/,+1.99%,+21.58%,"$646,551,103","$155,594,841","23,720,810 QTUM","98,568,281 QTUM"
90,90,ZEN,$55.62,https://coinmarketcap.com/currencies/horizen/,+1.28%,+13.25%,"$631,268,070","$32,796,515","589,613 ZEN","11,348,881 ZEN"
91,91,DGB,$0.04285,https://coinmarketcap.com/currencies/digibyte/,+17.22%,,"$622,603,781","$17,906,413","417,890,872 DGB","14,530,014,382 DGB"
92,92,ONT,$0.6983,https://coinmarketcap.com/currencies/ontology/,+14.18%,,"$613,014,990","$101,909,704","145,949,652 ONT","877,927,426 ONT"
93,93,SC,$0.01259,https://coinmarketcap.com/currencies/siacoin/,+18.49%,,"$609,265,144","$58,743,359","4,664,477,284 SC","48,378,292,992 SC"
94,94,ZRX,$0.6969,https://coinmarketcap.com/currencies/0x/,+10.10%,,"$589,096,851","$50,769,521","72,853,196 ZRX","845,341,602 ZRX"
95,95,CRV,$1.52,https://coinmarketcap.com/currencies/curve-dao-token/,+5.79%,,"$576,006,717","$84,160,612","55,214,028 CRV","377,892,340 CRV"
96,96,ANKR,$0.08213,https://coinmarketcap.com/currencies/ankr/,+39.19%,,"$574,574,367","$112,637,327","1,371,514,279 ANKR","6,996,232,711 ANKR"
97,97,FTM,$0.2261,https://coinmarketcap.com/currencies/fantom/,+1.01%,+27.66%,"$575,306,313","$38,619,149","170,841,121 FTM","2,545,006,273 FTM"
98,98,HUSD,$0.9997,https://coinmarketcap.com/currencies/husd/,-0.05%,-0.03%,"$573,165,240","$396,667,101","396,805,956 HUSD","573,365,878 HUSD"
99,99,RVN,$0.0604,https://coinmarketcap.com/currencies/ravencoin/,+0.27%,+13.06%,"$562,202,961","$37,688,301","623,930,493 RVN","9,307,280,000 RVN"
